channel_name,total_subscribers,total_views,total_videos
Badabun,47600000,19911915821,24080
Kimberly Loaiza,46300000,6943011571,314
GENIAL,32000000,7081434709,9199
Masha y el Oso,39600000,20262996461,1667
MrBeast en Español,26400000,3148202215,67
BabyBus - Canciones Infantiles & Videos para Niños,26800000,15841426193,1674
Juan De Dios Pantoja,44000000,5857439622,432
Tlnovelas,24800000,19216815453,59898
YOLO AVENTURAS,58500000,20524794143,2699
YOLO,31900000,2488960701,362
Little Angel Español - Canciones Infantiles,21300000,12370556329,1109
SUPER SLICK SLIME SAM,21500000,8894134486,1403
DeToxoMoroxo,16800000,2377440678,600
Tu COSMOPOLIS,16600000,5189300383,11926
IDEAS EN 5 MINUTOS,16700000,3906326058,6644
Antrax,16500000,3198320224,764
MissaSinfonia,19600000,2701018998,241
Fede Vigevani,62300000,18366062147,1445
José Totoy - Español ,18100000,703648591,267
Blippi Español,17900000,10721775850,834
123 GO! Spanish,14200000,5242985880,944
TV Ana Emilia,14900000,5108007484,907
E-MasterSensei,18100000,4863557985,1455
Gibby :),12700000,3033357792,379
Yair17,13300000,1647119656,1300
Garena Free Fire LATAM,12600000,1909017726,2548
elcarteldesantatv,13300000,9230589390,389
Franco Escamilla,13800000,5368851027,3369
Hueva,12000000,3412981968,1055
Juanpa Zurita,11200000,866303056,324
Craftingeek*,10500000,1544751866,1128
LA DIVAZA,10400000,915498626,225
Pinkfong en español - Canciones Infantiles,15800000,7514518342,2364
Luan Palomera,10500000,1915054259,875
Christian Nodal,11600000,10716319553,19
Netflix Latinoamérica,12000000,2709815698,6151
BERTH-OH,10200000,1607705797,782
Cleo y Cuquin - Canciones infantiles,15500000,8669021285,1382
luisitorey,9530000,2013664275,1385
 PONGAMOSLO A PRUEBA CORTOS,13100000,7853423973,780
Santa Fe Klan Official,11800000,5343643140,350
Rayito,9030000,549170402,426
Lizbeth Rodriguez,9720000,1684041192,2181
Ha*Ash,9880000,9015807521,300
 Super JoJo - Canciones Infantiles,7650,1353329,5
Karol Sevilla,8540000,857591397,295
MARIANA,18300000,2875683452,630
Cartoon Network LA,9950000,3866516793,4868
elmayo97,10100000,1377540762,1883
Susy Mouriz,27300000,11987063500,1927
Los Ángeles Azules,9670000,14414271126,124
Antronixx G,9430000,1119928628,1613
Jorge el Curioso en Español,10400000,5118619926,2168
Mario Aguilar,8000000,1102962724,1270
SoyFredy,9390000,1798516783,433
Eliot Channel Mx,14000000,8890952589,10033
MIRACULOUS - Las Aventuras de Ladybug,11700000,6352951939,1136
ckan98,8270000,4310493508,59
Job Othoniel,10800000,618990457,4685
Bely y Beto Oficial,13900000,9132903140,790
Chiki-Arte Aprende a Dibujar,7360000,1763498461,570
El Fedelobo,8180000,1663897641,2178
Kenia Os,7220000,26265535,6
HGamesYT,7090000,982233269,2136
Lizos Music,7720000,11070040826,752
Dankev,8640000,2792286948,2202
El Tío Néstor,16900000,5926585221,1422
La Bala,6890000,1013040429,458
UPDT,6810000,2599469599,1493
Talking Tom & Friends Español,8990000,3590520034,788
123 GO! GOLD Spanish,7290000,3265954122,1472
RemexMusic,7370000,7009877222,3827
elmundoDKBza,7440000,1413362257,1475
Grupo Firme,8600000,8158524316,152
Chingu amiga,13600000,9465160799,1601
NANDO,19000000,2452612245,431
Nickelodeon en Español,9850000,5512165202,4402
Carolina Díaz,6640000,755966292,663
Andrea Zuñiga,6390000,368480128,285
 Ideas en 5 minutos DIY,6260000,1223378479,6288
TheHectorino,11700000,1502655270,2409
Liza Baez,20800000,6759304136,635
123 GO! CHALLENGE Spanish,6220000,2202576940,880
Ideas en 5 minutos JUEGOS,6070000,1794566045,7283
Kids First - Español Latino,8980000,3211784141,1948
JuanSGuarnizo,6350000,660082587,259
Soy Francisco ALV,5920000,204647837,99
BUFF Academy APP,6530000,1147071877,417
Lonrot,5650000,403746246,154
KimShantal,5710000,264507085,92
Prankedy,6410000,1208887854,292
El FedeWolf,6740000,1906253201,534
Sr Pelo,7110000,1666298164,201
SKabeche,5930000,421349621,182
vicentefernandez®,8250000,10859962987,124
HeyKids - Canciones Para Niños,7500000,2627670984,501
Jesus Adrian Romero,6820000,3974588791,330
Daniel Carreón,8580000,1000065101,2716
mispastelitos,17200000,4050296639,777
CRACKS,11200000,1204944741,492
